epoch,lr,train_loss,val_loss,val_acc,train_loss_ema,val_loss_ema,val_acc_ema
1,0.0003,1.547399516105652,1.5424765586853026,0.22,1.547399516105652,1.5424765586853026,0.22
2,0.0002992056748283996,1.4081739354133607,1.2678214931488037,0.54,1.4986705628633499,1.446347285747528,0.332
3,0.0002968314021064018,1.2594315004348755,1.1191658282279968,0.65,1.4149368910133837,1.3318337756156922,0.4433
4,0.00029290319486279724,1.077116037607193,1.007046744823456,0.63,1.296699592321217,1.2181583148384094,0.508645
5,0.00028746409135817707,0.9865602505207062,0.9402671909332275,0.72,1.1881508226910382,1.1208964214715957,0.58261925
6,0.0002805736835487436,0.9126022064685821,0.8807817220687866,0.71,1.0917088070131786,1.0368562766806126,0.6272025125
7,0.0002723074641843674,0.8255150187015533,0.878129940032959,0.63,0.9985409811041097,0.9813020588539338,0.6281816331250001
8,0.00026275599969422214,0.7875408184528351,0.7777119207382203,0.75,0.9246909241761636,0.9100455105134341,0.67081806153125
9,0.0002520239379220344,0.7673614519834518,0.7712482380867004,0.74,0.8696256089087144,0.8614664651640773,0.6950317399953125
10,0.00024022886158240857,0.6906780451536179,0.6664462053775787,0.73,0.8069939615944306,0.7932093742388028,0.7072706309969532
11,0.00022749999999999997,0.677734887599945,0.6813129496574402,0.8,0.7617532856963607,0.7540456256353258,0.7397259101480196
12,0.00021397681324599103,0.6416690564155578,0.5251758426427842,0.8,0.7197238054480797,0.6739412015879362,0.7608218415962127
13,0.00019980746418436736,0.6792594051361084,0.505672213435173,0.8,0.7055612653388896,0.6150470557344692,0.7745341970375382
14,0.00018514719516857508,0.5904905760288238,0.44914006590843203,0.86,0.6652865240803666,0.5569796092953562,0.8044472280744
15,0.00017015662717380977,0.6151786482334137,0.37015753507614135,0.88,0.6477487675339331,0.491591883318631,0.8308906982483599
16,0.00015500000000000003,0.6099702852964402,0.4504522901773453,0.83,0.6345262987508106,0.477193025719181,0.830578953861434
17,0.00013984337282619026,0.5732713264226913,0.3279265731573105,0.93,0.6130870584359689,0.4249497673225263,0.8653763200099321
18,0.00012485280483142487,0.49513002634048464,0.3225257867574692,0.92,0.5718020972025494,0.3891013741247563,0.884494608006456
19,0.00011019253581563262,0.5161011081933975,0.4756809860467911,0.83,0.5523067510493462,0.4194042382974684,0.8654214952041964
20,9.602318675400897e-05,0.5092220318317413,0.3696669191122055,0.87,0.5372270993231845,0.4019961765826264,0.8670239718827277
21,8.250000000000003e-05,0.45417784035205844,0.3286482530832291,0.88,0.5081598586832904,0.37632440335783734,0.8715655817237731
22,6.977113841759141e-05,0.4514975541830063,0.2857934856414795,0.94,0.48832805210819097,0.34463858215711207,0.8955176281204524
23,5.7976062077965607e-05,0.4377869611978531,0.27019932731986046,0.92,0.47063867028957274,0.31858484296407397,0.9040864582782941
24,4.7244000305777854e-05,0.45241118043661116,0.28093496412038804,0.94,0.4642590488410362,0.30540738536878387,0.9166561978808911
25,3.7692535815632644e-05,0.4346966135501862,0.25923139333724976,0.95,0.4539121964892387,0.28924578815774693,0.9283265286225793
26,2.9426316451256393e-05,0.42600145637989045,0.26517028987407687,0.94,0.44414343745096685,0.2808193637584624,0.9324122436046764
27,2.2535908641822862e-05,0.4455677089095116,0.24064105093479157,0.95,0.44464193246145745,0.2667569542701776,0.9385679583430397
28,1.7096805137202738e-05,0.42858641386032104,0.26316119089722634,0.94,0.43902250095105966,0.26549843708964466,0.9390691729229758
29,1.3168597893598177e-05,0.4145584473013878,0.24605867177248,0.95,0.4304600821736745,0.25869451922863707,0.9428949623999343
30,1.0794325171600358e-05,0.4210453072190285,0.25169147342443465,0.93,0.42716491093954834,0.25624345319716624,0.9383817255599574
